Ad ID ,Category ,Locations ,Car Makes,Car Model,Year,Tax Type,Condition,Body Type,Fuel,Transmission,Color,Link,Title,Price,Year Used
8823833,Cars for Sale,Siem Reap,Hyundai,H350,2002.0,Plate Number,Used,,,Manual,Gray,https://www.khmer24.com/en/cars/%E1%9E%A1%E1%9E%93%E1%9E%9B%E1%9E%80%E1%9E%94%E1%9E%93%E1%9E%91%E1%9E%93%E1%9E%9B%E1%9E%99-adid-8823833.html,ឡានលក់បន្ទាន់លុយ,"$9,000 ",21.0
9336247,Cars for Sale,Phnom Penh,Toyota,Land Cruiser,2003.0,Plate Number,Used,SUV,Diesel,Manual,Black,https://www.khmer24.com/en/cars/land-cruiser-03-arap-%E1%9E%A2%E1%9E%85%E1%9E%94%E1%9E%84%E1%9E%9A%E1%9E%9B%E1%9E%94%E1%9E%93-%E1%9E%98%E1%9E%9F%E1%9E%93%E1%9E%8F%E1%9E%85-%E1%9E%98%E1%9E%9F%E1%9E%93%E1%9E%9F-%E1%9E%98%E1%9E%9F%E1%9E%93%E1%9E%98%E1%9E%9F%E1%9E%8F-adid-9336247.html,Land Cruiser 03 Arap អាចបង់រំលោះបាន ម៉ាស៊ីនតូច ម៉ាស៊ីនស ម៉ាស៊ីនម៉ាស៊ូត,"$17,500 ",20.0
9333641,Cars for Sale,Phnom Penh,Toyota,Camry,2002.0,Plate Number,Used,Other,Petrol,Manual,Silver,https://www.khmer24.com/en/cars/camry-le-2002-%E1%9E%A0%E1%9E%9A%E1%9E%9C%E1%9E%84abs-%E1%9E%80%E1%9E%A2%E1%9E%85%E1%9E%85-%E1%9E%A1%E1%9E%93%E1%9E%93%E1%9E%9F%E1%9E%A2%E1%9E%8F-%E1%9E%96%E1%9E%8E%E1%9E%91%E1%9E%80%E1%9E%94%E1%9E%9A%E1%9E%80-adid-9333641.html,Camry LE 2002 ហ្រ្វាំងABS កៅអីចុច ឡាននៅស្អាត ពណ៌ទឹកប្រាក់,"$9,500 ",21.0
8687353,Cars for Sale,Phnom Penh,Lexus,RX300,1999.0,Plate Number,Used,SUV,Petrol,Manual,Green,https://www.khmer24.com/en/cars/lexus-rx300-%E1%9E%86%E1%9E%9399-%E1%9E%94%E1%9E%842-%E1%9E%9B%E1%9E%80%E1%9E%94%E1%9E%93%E1%9E%91%E1%9E%93-adid-8687353.html,Lexus RX300 ឆ្នាំ99 ប៉ុង2 លក់បន្ទាន់,"$7,500 ",24.0
8823833,Cars for Sale,Siem Reap,Hyundai,H350,2002.0,Plate Number,Used,,,Manual,Gray,https://www.khmer24.com/en/cars/%E1%9E%A1%E1%9E%93%E1%9E%9B%E1%9E%80%E1%9E%94%E1%9E%93%E1%9E%91%E1%9E%93%E1%9E%9B%E1%9E%99-adid-8823833.html,ឡានលក់បន្ទាន់លុយ,"$9,000 ",21.0
9547798,Cars for Sale,Phnom Penh,Maserati,Ghibli iii S,2021.0,Plate Number,Used,Other,Petrol,Auto,Black,https://www.khmer24.com/en/cars/maserati-ghibli-2021-update-adid-9547798.html,Maserati Ghibli 2021 update,"$68,000 ",2.0
9442549,Cars for Sale,Phnom Penh,Ford,Ranger Wildtrak,2019.0,Plate Number,Used,Pickup,Diesel,Auto,Silver,https://www.khmer24.com/en/cars/%E1%9E%9B%E1%9E%80%E1%9E%92%E1%9E%9A%E1%9F%97-adid-9442549.html,លក់ធូរៗ,"$34,900 ",4.0
9283111,Cars for Sale,Phnom Penh,Kia,Morning,2005.0,Plate Number,Used,Sedan,Petrol,Auto,Red,https://www.khmer24.com/en/cars/morning-05-%E1%9E%85%E1%9E%94%E1%9E%93%E1%9E%8F%E1%9E%85%E1%9E%8F%E1%9E%85-%E1%9E%95%E1%9E%9B%E1%9E%80%E1%9E%9B%E1%9E%81%E1%9E%98%E1%9E%85%E1%9E%9F%E1%9E%8A%E1%9E%98%E1%9E%95%E1%9E%91%E1%9E%9B-adid-9283111.html,Morning 05 ចុះបានតិចតួច ផ្លាកលេខម្ចាស់ដើមផ្ទាល់,"$4,800 ",18.0
9547797,Cars for Sale,Phnom Penh,Nissan,Terra,2019.0,Plate Number,Used,SUV,Diesel,Auto,White,https://www.khmer24.com/en/cars/nissan-terra-2019-%E1%9E%A1%E1%9E%93%E1%9E%9F%E1%9E%A2%E1%9E%8F-adid-9547797.html,Nissan Terra 2019 ឡានស្អាត,"$39,000 ",4.0
9547796,Cars for Sale,Phnom Penh,Kia,Morning,2008.0,Plate Number,Used,Sedan,Petrol,Auto,White,https://www.khmer24.com/en/cars/morning-slx-2008-%E1%9E%98%E1%9E%85%E1%9E%9F%E1%9E%91%E1%9E%98%E1%9E%99-adid-9547796.html,Morning slx 2008 ម្ចាស់ទីមួយ,"$6,499 ",15.0
